num_of_morning_visits,num_of_evening_visits,num_of_afternoon_visits,num_of_visits_in_weekdays,num_of_visits_in_weekends,business_id
3,3,3,5,4,"cE27W9VPgO88Qxe4ol6y_g"
1,2,7,10,0,"mVHrayjG3uZ_RLHkLj-AMg"
9,7,5,20,1,"KayYbHCt-RkbGcPdGOThNg"
7,3,2,8,4,"wJr6kSA5dchdgOdwH6dZ2w"
5,4,4,10,3,"yXuao0pFz1AxB21vJjDf5w"
3,1,3,6,1,"fNGIbpazjTRdXgwRY_NIXA"
86,1,0,66,21,"b9WZJp5L1RZr4F1nxclOoQ"
14,0,0,10,4,"zaXDakTd3RXyOa7sMrUE1g"
3,2,1,5,1,"zgy27FSnvwdINfk5cXBIyQ"
0,5,2,7,0,"WETE_LykpcnrC1sFcQ5EGg"
0,2,2,3,1,"SQ0j7bgSTazkVQlF5AnqyQ"
15,5,8,19,9,"wqu7ILomIOPSduRwoWp4AQ"
11,19,33,49,14,"P1fJb2WQ1mXoiudj8UE44w"
9,2,8,18,1,"PK6aSizckHFWk8i0oxt5DA"
74,9,51,93,41,"3gmBc0qN_LtGbZAjTtHWZg"
19,5,17,30,11,"yHTLTr-QN-loO_7XoxS8qg"
34,22,21,47,30,"6ilJq_05xRgek_8qUp36-g"
0,29,16,42,3,"MKyk4F4HSzHF8v-4cYe3Ww"
30,26,48,64,40,"gClSqcwuLsgyZRCzhJc7Dg"
7,11,18,30,6,"1qCuOcks5HRv67OHovAVpg"
30,60,80,134,36,"sbW8qHJgzEIH42B0S-3New"
60,121,196,290,87,"McikHxxEqZ2X0joaRNKlaw"
1,48,58,85,22,"tv8cS4aaA1VDaInYgggb6g"
49,37,55,92,49,"eT5Ck7Gg1dBJobca9VFovw"
30,15,58,70,33,"HwwEfnZKLNOUoqfgcwAgcQ"
10,61,75,110,36,"EoAY1JSVeJriBzId8lUQwQ"
27,3,19,29,20,"uI0LvTXFACid1308KFO5ew"
17,31,47,74,21,"tU-YtoW339PXJmUGSix_AQ"
23,31,42,71,25,"6p9TlP2I8S4agxYMNFSDjg"
6,1,6,10,3,"XhbC5Qj5nBcqcKLPRd8izQ"
52,54,112,136,82,"JDDeaNfb0JXD1NbznSIC9g"
5,1,2,5,3,"oPX8bpZ3dqviYQuic0Ahqw"
42,6,29,50,27,"FiXamVMgMf9U0VqFHDZSEA"
75,35,94,143,61,"ISKLP0qxApATxRlUDob6Cg"
1,0,5,4,2,"DMy5IG-dNrH4ARk96KngEA"
18,2,12,22,10,"rdATJvFQK4C73NIQ3zoY3w"
14,6,18,23,15,"g10zmpUzmMJOOIjj_JJPvg"
22,12,7,27,14,"eznh0XjVtv924K-KYx_ilQ"
19,8,26,35,18,"LQFWH1AKJlXGmEBlIKsBCw"
11,1,12,17,7,"LO2CjrNL8DXkvm9uALgRjQ"
27,30,70,97,30,"usSROUMiAgPcxV3Ym0OxMQ"
11,4,8,19,4,"qfL7ZFkxqDZOPIaVVfT3Aw"
15,10,23,38,10,"GlYPVYSOVT7zn00Kk_Oz4g"
0,2,2,2,2,"CL3tZqbYT7B5zgewKCS6-Q"
0,2,2,2,2,"u22QDAON1kk0wjoTliyftw"
1,0,2,1,2,"4ykgzzzGEWjMD5lwk1-l9A"
2,1,0,3,0,"53Yk2EODWnV9qHQECzeHVQ"
2,0,1,3,0,"iwZqvirc-2e0t8lQEXBlvA"
21,0,15,33,3,"LiMXTPwanF3LkkKHklFCjw"
0,0,0,0,0,"r8BwdblCW-ZUES37BL0khw"
1,6,11,14,4,"OZfpG8tDCcIEq8pzgZdyKw"
0,2,4,6,0,"T49ZvBa6mD4xHSmjHe-ArA"
0,2,6,7,1,"eOv0Dbq2E8sd0CKMAqTImw"
5,3,2,7,3,"_jsJFrAmFVPRio0eEVExbA"
1,1,1,3,0,"dEuJ4A6v1lUDKF8wWwxy_w"
19,1,12,28,4,"jTAKV9zLlAjouAKh4Wd7Yg"
